session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S8000,54,172624,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S5500,13,172624,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S11300,65,172624,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S10700,71,172624,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S9300,55,172624,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S7000,33,172624,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S12000,62,172624,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S10000,71,172624,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S8000,48,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,reference,100,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S7000,35,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S11300,79,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S9300,58,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S10700,74,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S5500,9,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S10000,60,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S12000,85,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S3500,0,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,trening,S8700,52,305122,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S8700,58,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S5500,21,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S10000,74,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S10700,83,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S7000,34,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S3500,0,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S12000,94,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S8000,40,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,reference,100,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S11300,83,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S9300,52,299739,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S9300,50,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,reference,100,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S11300,71,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S10700,71,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S7000,30,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S12000,79,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S8000,31,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S10000,50,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S8700,33,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S3500,0,188422,
label_test_2,32947645-bde0-4aaa-9fca-fb10bf968bc7,hq_label,S5500,22,188422,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S10000,49,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S12000,91,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S9300,37,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S11300,84,177700,
