session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S11300,51,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,reference,100,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S10700,74,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S5500,4,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S12000,97,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S8700,47,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S8000,36,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S7000,30,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S10000,80,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S9300,86,57884,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S8000,30,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S10000,50,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S12000,100,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S5500,5,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S10700,83,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S7000,26,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S9300,37,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S3500,0,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S8700,14,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,reference,89,55017,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S11300,98,55017,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S10700,68,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S10000,100,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S5500,0,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S7000,0,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S3500,0,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S8700,50,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S11300,69,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S12000,71,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,reference,50,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S9300,31,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,trening,S8000,28,100007,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S10700,71,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S10000,72,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S5500,0,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S7000,0,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S8700,28,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S9300,32,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S11300,51,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S8000,30,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S12000,94,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S3500,6,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,reference,95,107588,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S9300,27,69759,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S8000,31,69759,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,reference,100,69759,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S7000,6,69759,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S10700,67,69759,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S5500,0,69759,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S3500,0,69759,
label_test_2,c9414ac2-05a4-42e0-bfcb-ea8014e162e7,hq_label,S12000,100,69759,
